metric,channel,center,band_lo,band_hi,n,n_low,n_high,n_ratings,r,p_pearson,cohens_d,logit_beta,p_logit_cluster
nrs,ONE_THREE_RIGHT,28.5,26.0,31.0,73,29,34,39,-0.1583311200785239,0.1809324753851566,-0.43440196,-0.655081598335041,0.1473163625395803
nrs,ONE_THREE_RIGHT,29.5,27.0,32.0,73,29,34,39,-0.1601935254110144,0.17578997205058533,-0.41379875,-0.5861255607110228,0.1364831051330352
nrs,ONE_THREE_RIGHT,30.5,28.0,33.0,73,29,34,39,-0.13757417116021603,0.24577401308830357,-0.34965193,-0.4714149726277174,0.20566607634070877
nrs,ONE_THREE_RIGHT,31.5,29.0,34.0,73,29,34,39,-0.22272883829422763,0.05822273823746175,-0.52097166,-0.7674866741876434,0.07397120829330417
nrs,ONE_THREE_RIGHT,32.5,30.0,35.0,73,29,34,39,-0.2068285597951728,0.07914284333757723,-0.4624955,-0.6746772749309199,0.09811940441586213
nrs,ONE_THREE_RIGHT,33.5,31.0,36.0,73,29,34,39,-0.18669695022895633,0.11375281550617417,-0.40453467,-0.5597263823155127,0.13624030567806478
nrs,ONE_THREE_RIGHT,34.5,32.0,37.0,73,29,34,39,-0.18354313721162016,0.1200977187894961,-0.4273173,-0.5868600729745713,0.11072620009159533
nrs,ONE_THREE_RIGHT,35.5,33.0,38.0,73,29,34,39,-0.1631483587315011,0.16785124652635075,-0.38026685,-0.5291232874135249,0.12327024331921899
nrs,ONE_THREE_RIGHT,36.5,34.0,39.0,73,29,34,39,-0.10180942967387063,0.39140255656894973,-0.27697164,-0.37397619843273255,0.28025412982597897
nrs,ONE_THREE_RIGHT,37.5,35.0,40.0,73,29,34,39,-0.13510457012009477,0.25443434524704334,-0.3754477,-0.5254485209371894,0.15157404971711655
nrs,ONE_THREE_RIGHT,38.5,36.0,41.0,73,29,34,39,-0.19083148546905054,0.1058300498179814,-0.48116896,-0.6919360732146461,0.04757242190383201
nrs,ONE_THREE_RIGHT,39.5,37.0,42.0,73,29,34,39,-0.1726825470319652,0.14403327863192883,-0.38022465,-0.5567609880856588,0.09139187124426526
nrs,ONE_THREE_RIGHT,40.5,38.0,43.0,73,29,34,39,-0.2342292760119444,0.04609145489990392,-0.52564573,-0.8278229382132193,0.023858483156692062
nrs,ONE_THREE_RIGHT,41.5,39.0,44.0,73,29,34,39,-0.2719957224303112,0.019917616278918557,-0.60212195,-1.035565622890963,0.026965206637341373
nrs,ONE_THREE_RIGHT,42.5,40.0,45.0,73,29,34,39,-0.26012143418258055,0.02624754510645929,-0.6003843,-1.0193259094377105,0.02381701516331203
nrs,ONE_THREE_RIGHT,43.5,41.0,46.0,73,29,34,39,-0.22634638484544317,0.054154727066787055,-0.49272794,-0.808211917529812,0.03593694449783054
nrs,ONE_THREE_RIGHT,44.5,42.0,47.0,73,29,34,39,-0.28894750926271784,0.013164455935107193,-0.622923,-1.1307831716333063,0.01471332426025931
nrs,ONE_THREE_RIGHT,45.5,43.0,48.0,73,29,34,39,-0.24504049980270642,0.03666620668835029,-0.513256,-0.8618093829173289,0.025862973842243092
nrs,ONE_THREE_RIGHT,46.5,44.0,49.0,73,29,34,39,-0.19502981892763205,0.09823025051285063,-0.41111463,-0.6067188374814364,0.05525787723758505
nrs,ONE_THREE_RIGHT,47.5,45.0,50.0,73,29,34,39,-0.17777310343671973,0.1324033491741297,-0.35241404,-0.4834544975051361,0.10943063835329496
nrs,ONE_THREE_RIGHT,48.5,46.0,51.0,73,29,34,39,-0.18903694399819942,0.1092145278361247,-0.36267474,-0.48915286637501143,0.11644714553108114
nrs,ONE_THREE_RIGHT,49.5,47.0,52.0,73,29,34,39,-0.17774554984288446,0.13246432158435065,-0.3384016,-0.4252426582614847,0.10207923710926717
nrs,ONE_THREE_RIGHT,50.5,48.0,53.0,73,29,34,39,-0.17790011440771367,0.13212256593948554,-0.3600761,-0.44143226759271753,0.11975826598456359
nrs,ONE_THREE_RIGHT,51.5,49.0,54.0,73,29,34,39,-0.2313940029017663,0.04886938519877323,-0.4665423,-0.6132100818112791,0.04555356234529645
nrs,ONE_THREE_RIGHT,52.5,50.0,55.0,73,29,34,39,-0.24899479560145374,0.03364723409966492,-0.47456357,-0.6406087693419458,0.018150701642964572
nrs,ONE_THREE_RIGHT,53.5,51.0,56.0,73,29,34,39,-0.32435389200734366,0.005117129311777243,-0.6480813,-0.9068331968860744,0.0007217943648129901
nrs,ONE_THREE_RIGHT,54.5,52.0,57.0,73,29,34,39,-0.29980793809260087,0.009968510722771834,-0.60185134,-0.7904343108558102,0.004223917136036556
nrs,ONE_THREE_RIGHT,55.5,53.0,58.0,73,29,34,39,-0.2740636636430058,0.018960734587132436,-0.53275526,-0.7235641083276567,0.027597823540088804
nrs,ONE_THREE_RIGHT,56.5,54.0,59.0,73,29,34,39,-0.2941700237452394,0.01153127155733778,-0.56849974,-0.7391571613332442,0.019590868904140205
nrs,ONE_THREE_RIGHT,57.5,55.0,60.0,73,29,34,39,-0.2980574849677926,0.01043266602948643,-0.5582553,-0.6962967285636864,0.028915063754999533
nrs,ONE_THREE_RIGHT,58.5,56.0,61.0,73,29,34,39,-0.22870332517870826,0.05163142628748131,-0.43290946,-0.5596531837647138,0.08004249355076598
nrs,ONE_THREE_RIGHT,59.5,57.0,62.0,73,29,34,39,-0.20224033404471292,0.08618066790287658,-0.41785356,-0.5797122898166464,0.09687848847357006
nrs,ONE_THREE_RIGHT,60.5,58.0,63.0,73,29,34,39,-0.23198888066859308,0.048275412968490576,-0.5092861,-0.7644993188603708,0.057009915978446755
