metric,channel,peak_center,band_lo,band_hi,run_lo,run_hi,run_width,r,cohens_d,p_logit,q_logit,n,n_ratings
mpq_sum,ZERO_TWO_LEFT,54.5,52.0,57.0,54.5,54.5,1,-0.4309900207383666,-0.7623657,0.04478909561967392,0.15817921111251929,79,36
mpq_sum,ZERO_THREE_LEFT,81.5,79.0,84.0,81.5,81.5,1,-0.40034718105862,-0.6219535,0.0452357533036649,0.15875188895248435,86,36
mpq_sum,ONE_THREE_RIGHT,60.5,58.0,63.0,60.5,60.5,1,-0.18489336819621097,-0.534202,0.04785551113132179,0.16183863764410641,73,31
mpq_sum,ZERO_TWO_RIGHT,59.5,57.0,62.0,59.5,59.5,1,-0.24729794785307044,-0.57211584,0.0482982855268632,0.16193598142237836,73,31
mpq_sum,ONE_THREE_LEFT,47.5,45.0,50.0,44.5,47.5,4,-0.32072318727447635,-0.7860227,0.04870209712638445,0.16193598142237836,90,40
mpq_sum,ONE_THREE_LEFT,36.5,34.0,39.0,36.5,36.5,1,-0.34787765257294706,-0.77637213,0.049348145604025756,0.16197803086497867,90,40
nrs,ONE_THREE_RIGHT,53.5,51.0,56.0,51.5,57.5,7,-0.32435389200734366,-0.6480813,0.0007217943648129901,0.06393149888124476,73,39
nrs,ZERO_THREE_RIGHT,61.5,59.0,64.0,42.5,98.5,57,-0.2850585739383123,-0.8539562,0.003084524134221142,0.06393149888124476,116,52
nrs,ZERO_TWO_LEFT,85.5,83.0,88.0,84.5,94.5,11,-0.44304463423568974,-0.94198114,0.004010040252407825,0.06393149888124476,79,43
nrs,ZERO_THREE_LEFT,84.5,82.0,87.0,81.5,85.5,5,-0.5007662603941588,-1.0352757,0.004269697171063606,0.06439164922847276,86,41
nrs,ZERO_TWO_RIGHT,48.5,46.0,51.0,47.5,57.5,11,-0.27192301791031137,-0.70120937,0.004521608444742742,0.06639625032016973,73,39
nrs,ZERO_THREE_RIGHT,32.5,30.0,35.0,29.5,38.5,10,-0.16117937516142775,-0.72834104,0.005844603173308371,0.07146372210622119,116,52
nrs,ZERO_THREE_LEFT,54.5,52.0,57.0,48.5,75.5,28,-0.5007648002366488,-1.2274072,0.010039752334353114,0.08753409066514121,86,41
nrs,ONE_THREE_RIGHT,44.5,42.0,47.0,40.5,45.5,6,-0.28894750926271784,-0.622923,0.01471332426025931,0.10155225099655672,73,39
nrs,ONE_THREE_LEFT,57.5,55.0,60.0,53.5,61.5,9,-0.43962418407544057,-0.8143646,0.01593828543009169,0.10155225099655672,90,47
nrs,ZERO_THREE_LEFT,23.5,21.0,26.0,21.5,24.5,4,0.273441318910534,0.6494626,0.016057246026505448,0.10155225099655672,86,41
nrs,ZERO_TWO_LEFT,54.5,52.0,57.0,53.5,57.5,5,-0.4683855560394845,-0.8945572,0.016382388521735115,0.10155225099655672,79,43
nrs,ZERO_THREE_LEFT,92.5,90.0,95.0,92.5,92.5,1,-0.4035198705083216,-0.7819662,0.020905229040161257,0.1121645942731729,86,41
nrs,ZERO_THREE_RIGHT,21.5,19.0,24.0,20.5,23.5,4,-0.12725190851133497,-0.5310681,0.034453851122951996,0.1394218731956995,116,52
nrs,ONE_THREE_LEFT,47.5,45.0,50.0,47.5,47.5,1,-0.35224966996999535,-0.72332865,0.037124833930317805,0.1418880639254612,90,47
nrs,ONE_THREE_LEFT,6.5,4.0,9.0,6.5,9.5,4,-0.4390800135519446,-0.899001,0.03828733404102616,0.14435359726278782,90,47
nrs,ZERO_TWO_LEFT,73.5,71.0,76.0,73.5,73.5,1,-0.3949328465766079,-0.8419373,0.04022312175745396,0.14766119697802177,79,43
nrs,ZERO_TWO_RIGHT,35.5,33.0,38.0,35.5,35.5,1,-0.19480379299250739,-0.47719234,0.0411313514315982,0.14903437726514152,73,39
nrs,ZERO_TWO_RIGHT,70.5,68.0,73.0,69.5,71.5,3,-0.22021959892425574,-0.5110547,0.04271415348111682,0.15278524129784093,73,39
nrs,ONE_THREE_RIGHT,38.5,36.0,41.0,38.5,38.5,1,-0.19083148546905054,-0.48116896,0.04757242190383201,0.15895455941519918,73,39
nrs,ONE_THREE_LEFT,36.5,34.0,39.0,36.5,36.5,1,-0.31734452143365083,-0.68619484,0.048463318659391484,0.1596824838583825,90,47
nrs,ZERO_TWO_RIGHT,37.5,35.0,40.0,37.5,37.5,1,-0.2579247629064286,-0.5285026,0.04895141961529663,0.1596824838583825,73,39
nrs,ONE_THREE_LEFT,44.5,42.0,47.0,44.5,44.5,1,-0.3139512151322963,-0.61236924,0.04903026926147355,0.1596824838583825,90,47
nrs,ZERO_TWO_LEFT,48.5,46.0,51.0,48.5,48.5,1,-0.36190105980376097,-0.73162895,0.04999929348762699,0.1612693974918836,79,43
vas,ZERO_THREE_LEFT,70.5,68.0,73.0,59.5,75.5,17,-0.43251018897399257,-1.2544633,0.00017443987292572945,0.03244581636418568,86,34
vas,ONE_THREE_RIGHT,53.5,51.0,56.0,52.5,54.5,3,-0.28746522332613217,-0.59474576,0.003907382609533992,0.13033280003093128,73,28
vas,ZERO_THREE_LEFT,84.5,82.0,87.0,80.5,84.5,5,-0.5299106205590768,-1.0917088,0.005786289951749436,0.13033280003093128,86,34
vas,ZERO_TWO_LEFT,85.5,83.0,88.0,84.5,86.5,3,-0.42727470801310113,-0.9579201,0.006023181227475157,0.13033280003093128,79,32
vas,ZERO_THREE_RIGHT,82.5,80.0,85.0,73.5,98.5,26,-0.2952809504354557,-0.8676503,0.006632959798590045,0.13033280003093128,116,43
vas,ZERO_THREE_RIGHT,61.5,59.0,64.0,50.5,71.5,22,-0.3178691102537372,-0.8223886,0.0069589923596883,0.13033280003093128,116,43
vas,ZERO_THREE_LEFT,24.5,22.0,27.0,22.5,25.5,4,0.33687264033254893,0.7695823,0.007691692975486211,0.13033280003093128,86,34
vas,ZERO_TWO_RIGHT,48.5,46.0,51.0,47.5,51.5,5,-0.24869123938290286,-0.71510226,0.00870513831380295,0.13033280003093128,73,28
vas,ONE_THREE_LEFT,47.5,45.0,50.0,44.5,61.5,18,-0.2918387335034448,-0.89064944,0.014005850184959076,0.13575490710774277,90,36
vas,ZERO_THREE_RIGHT,43.5,41.0,46.0,42.5,47.5,6,-0.15172260035397517,-0.57736397,0.015918628654729566,0.13575490710774277,116,43
vas,ZERO_THREE_RIGHT,32.5,30.0,35.0,31.5,36.5,6,-0.18979693450384663,-0.67598903,0.016543608751481198,0.13575490710774277,116,43
vas,ZERO_TWO_LEFT,94.5,92.0,97.0,88.5,94.5,7,-0.3560058414378402,-0.95047396,0.020926361031074637,0.14885881692537284,79,32
vas,ZERO_TWO_RIGHT,57.5,55.0,60.0,56.5,57.5,2,-0.25385374763087204,-0.5244234,0.024652876562694832,0.1591285167410304,73,28
vas,ZERO_THREE_LEFT,92.5,90.0,95.0,92.5,92.5,1,-0.40300203575192917,-0.7643993,0.024885021205855427,0.1591285167410304,86,34
vas,ONE_THREE_RIGHT,44.5,42.0,47.0,44.5,45.5,2,-0.27316251850585505,-0.59882635,0.026946873799076437,0.1606488834692746,73,28
vas,ZERO_TWO_LEFT,97.5,95.0,100.0,97.5,97.5,1,-0.27265307974336794,-0.7592083,0.029207308169212864,0.16192320882100847,79,32
vas,ZERO_THREE_LEFT,57.5,55.0,60.0,46.5,57.5,12,-0.4420030504016612,-1.3259751,0.03151691158108697,0.16664087645234502,86,34
vas,ZERO_TWO_LEFT,54.5,52.0,57.0,54.5,54.5,1,-0.4550405142906245,-0.8606483,0.033881112235132474,0.17311951412940862,79,32
vas,ONE_THREE_LEFT,36.5,34.0,39.0,36.5,37.5,2,-0.2738714377486942,-0.7859184,0.035585138504310845,0.17328228406969234,90,36
vas,ZERO_THREE_LEFT,34.5,32.0,37.0,34.5,34.5,1,-0.1826703618853364,-0.6240557,0.038079707879307714,0.17328228406969234,86,34
vas,ONE_THREE_RIGHT,38.5,36.0,41.0,38.5,38.5,1,-0.1769624966657103,-0.52123284,0.040985623796324505,0.17591416517657982,73,28
vas,ZERO_TWO_LEFT,57.5,55.0,60.0,57.5,57.5,1,-0.41346966765719145,-0.77611876,0.04271432046493081,0.17591416517657982,79,32
vas,ONE_THREE_LEFT,6.5,4.0,9.0,6.5,10.5,5,-0.39809544643320066,-0.97665626,0.04316109462887166,0.17591416517657982,90,36
vas,ZERO_THREE_RIGHT,20.5,18.0,23.0,20.5,20.5,1,-0.14723754393194785,-0.5221435,0.043389493480822425,0.17591416517657982,116,43
vas,ZERO_THREE_LEFT,44.5,42.0,47.0,44.5,44.5,1,-0.3654927799059948,-0.87019247,0.043660025815313516,0.17591416517657982,86,34
vas,ONE_THREE_RIGHT,56.5,54.0,59.0,56.5,56.5,1,-0.24895820033247434,-0.49627697,0.0457367913942029,0.17600779033079458,73,28
vas,ZERO_THREE_LEFT,78.5,76.0,81.0,78.5,78.5,1,-0.3249898261781756,-0.70761395,0.04904899699140283,0.17928732522814383,86,34
