channel,t_psd,center_hz,psd_bandpower_uV2,lsb_nearest,offset_s
ZERO_THREE_RIGHT,1765560414.0,26.4,0.9841120268511094,60.0,-1696.0
ZERO_THREE_RIGHT,1765589600.0,26.4,1.2569794524780078,59.0,3885.0
ZERO_THREE_RIGHT,1765589943.0,26.4,1.2569794524780078,59.0,3542.0
ZERO_THREE_RIGHT,1765590212.0,26.4,1.2569794524780078,59.0,3273.0
ZERO_THREE_RIGHT,1765590545.0,26.4,1.2569794524780078,59.0,2940.0
ZERO_THREE_RIGHT,1765590814.0,26.4,1.2569794524780078,59.0,2671.0
ZERO_THREE_RIGHT,1765591003.0,26.4,1.2569794524780078,59.0,2482.0
ZERO_THREE_RIGHT,1765591003.0,26.4,1.2569794524780078,59.0,2482.0
ZERO_THREE_RIGHT,1765591246.0,26.4,1.2569794524780078,59.0,2239.0
ZERO_THREE_RIGHT,1765591272.0,26.4,1.2569794524780078,59.0,2213.0
ZERO_THREE_RIGHT,1765591272.0,26.4,1.2569794524780078,59.0,2213.0
ZERO_THREE_RIGHT,1765591515.0,26.4,1.2569794524780078,59.0,1970.0
ZERO_THREE_RIGHT,1765641014.0,26.4,1.2027414600890547,54.0,-728.0
ZERO_THREE_RIGHT,1765641525.0,26.4,1.0389091738007736,54.0,-1239.0
ZERO_THREE_RIGHT,1765641626.0,26.4,1.2027414600890547,54.0,-1340.0
ZERO_THREE_RIGHT,1765642127.0,26.4,1.0389091738007736,54.0,-1841.0
ZERO_THREE_RIGHT,1765642228.0,26.4,1.2027414600890547,54.0,-1942.0
ZERO_THREE_RIGHT,1765642585.0,26.4,1.0389091738007736,54.0,-2299.0
ZERO_THREE_RIGHT,1765642585.0,26.4,1.0389091738007736,54.0,-2299.0
ZERO_THREE_RIGHT,1765642686.0,26.4,1.2027414600890547,54.0,-2400.0
ZERO_THREE_RIGHT,1765642686.0,26.4,1.2027414600890547,54.0,-2400.0
ZERO_THREE_RIGHT,1765642828.0,26.4,1.0389091738007736,54.0,-2542.0
ZERO_THREE_RIGHT,1765642929.0,26.4,1.2027414600890547,54.0,-2643.0
ZERO_THREE_RIGHT,1765643387.0,26.4,1.2027414600890547,54.0,-3101.0
ZERO_THREE_RIGHT,1765659175.0,26.4,1.202741460089055,54.0,3814.0
ZERO_THREE_RIGHT,1765659632.0,26.4,1.2569794524780078,54.0,3357.0
ZERO_THREE_RIGHT,1765659787.0,26.4,1.202741460089055,54.0,3202.0
ZERO_THREE_RIGHT,1765660234.0,26.4,1.2569794524780078,54.0,2755.0
ZERO_THREE_RIGHT,1765660389.0,26.4,1.202741460089055,54.0,2600.0
ZERO_THREE_RIGHT,1765660692.0,26.4,1.2569794524780078,54.0,2297.0
ZERO_THREE_RIGHT,1765660692.0,26.4,1.2569794524780078,54.0,2297.0
ZERO_THREE_RIGHT,1765660847.0,26.4,1.202741460089055,54.0,2142.0
ZERO_THREE_RIGHT,1765660935.0,26.4,1.2569794524780078,54.0,2054.0
ZERO_THREE_RIGHT,1765661090.0,26.4,1.202741460089055,54.0,1899.0
ZERO_THREE_RIGHT,1765661393.0,26.4,1.2569794524780078,54.0,1596.0
ZERO_THREE_RIGHT,1765661548.0,26.4,1.202741460089055,54.0,1441.0
ZERO_THREE_RIGHT,1765762255.0,26.4,1.311776599427672,60.0,-862.0
