survey_utc,channel,center_hz,td_transform_uv2,device_psd_uv2
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,21.5,0.255853,1.05959
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,22.5,0.244765,1.05959
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,23.5,0.214205,0.969094
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,24.5,0.154536,0.824139
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,25.5,0.119427,0.594446
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,26.5,0.086834,0.433447
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,27.5,0.0804072,0.337745
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,7.5,13.8338,64.9868
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,8.5,12.1539,52.3559
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,9.5,9.28857,37.0112
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,10.5,3.76908,20.0627
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,11.5,2.16681,12.1945
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,12.5,1.37114,8.24537
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,13.5,1.0428,5.52344
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,14.5,0.645342,3.84811
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,15.5,0.543661,2.75256
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,16.5,0.484202,2.15078
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,17.5,0.396773,1.85583
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,18.5,0.304961,1.60738
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,19.5,0.319622,1.51379
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,20.5,0.240288,1.57662
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,21.5,0.262458,1.63772
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,22.5,0.245058,1.56613
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,23.5,0.251714,1.4732
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,24.5,0.182119,1.30796
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,25.5,0.169699,0.986299
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,26.5,0.183709,0.676222
2025-07-16T19:47:09Z,TWO_THREE_RIGHT,27.5,0.137453,0.499286
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,7.5,3.49289,13.188
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,8.5,2.73121,10.982
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,9.5,2.08636,7.82486
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,10.5,1.30832,4.91856
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,11.5,0.86586,3.82906
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,12.5,0.511834,3.05395
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,13.5,0.386159,2.4113
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,14.5,0.29309,1.8929
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,15.5,0.267319,1.51626
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,16.5,0.261156,1.25873
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,17.5,0.216343,1.19456
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,18.5,0.230146,1.10162
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,19.5,0.241353,1.0528
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,20.5,0.222995,1.01969
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,21.5,0.185005,0.988625
2025-07-16T19:47:09Z,ZERO_ONE_RIGHT,22.5,0.155188,0.933413
